Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",1206,3,10nF,
C3,1206,1,100nF,
CONN01X06,JST_EH_B6B-EH-A_1x06_P2.50mm_Vertical,1,Finales de carrera,
D2,1206,1,LED_D,
"DATA_IN1, DATA_OUT1",JST_EH_B4B-EH-A_1x04_P2.50mm_Vertical,2,I2C,
ESP32-C3,MODULE_ESP32-C3_SUPERMINI,1,ESP32-C3_SUPERMINI_SMD,
"Q1, Q2, Q3, Q4, Q5, Q6",SOT-23_Handsoldering,6,MMBT3904,
"R1, R11, R3, R5, R7, R9",1206,6,1k,
"R10, R12, R2, R4, R6, R8",1206,6,100k,
"R13, R14, R15, R17",1206,4,10k,
R16,1206,1,330,
"R18, R19",1206,2,4.7k,
SW2,SW_RS-032G05A3-SMRT,1,SW_Push,
"VP_IN1, VP_IN2, VP_IN3, VP_IN4",TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,4,Bornera 01x02,
